,Braddock_16.fastq,Braddock_17.fastq,Braddock_18.fastq,Braddock_19.fastq,Braddock_20.fastq,Control_28.fastq,Control_29.fastq,NevilleIsland_1.fastq,NevilleIsland_2.fastq,NevilleIsland_3.fastq,NevilleIsland_4.fastq,NevilleIsland_5.fastq,PointAll_21.fastq,PointAll_22.fastq,PointAll_23.fastq,PointAll_24.fastq,PointAll_25.fastq,PointMon_10.fastq,PointMon_6.fastq,PointMon_7.fastq,PointMon_8.fastq,PointMon_9.fastq,Sharpsburg_11.fastq,Sharpsburg_12.fastq,Sharpsburg_13.fastq,Sharpsburg_14.fastq,unclassified_0.fastq,
NevilleIsland_4.fastq,0.465697012179094,0.2652846099789178,0.7222879260294592,0.5731518713269409,0.6309478732803231,0.9996045867931989,0.9990773691841307,0.8542297066175504,0.9001441488664658,0.3248821505924322,0,0.7465047453821818,0.9725338491295938,0.9845691120700929,0.9192915876027831,0.9727085478887745,0.9354097523615011,0.9155665926022742,0.4706253063510959,0.7177762039660056,0.7695279231050006,0.9884012126005008,0.9004524886877828,0.9658751938909438,0.9255937954435288,0.9204725368408233,0.8794619762027935,
NevilleIsland_5.fastq,0.6212164073550213,0.7150247898253934,0.19558676028084254,0.43280377844568485,0.4836128048780488,0.9991483925910155,0.9982967851820311,0.7609112199276133,0.8281882052373856,0.7378198818897638,0.7465047453821818,0,0.9195915762603701,0.9618905684479455,0.7965091528309919,0.9161166702150308,0.8394720034064296,0.8488718603661132,0.8391522724488546,0.7589105058365759,0.8789208225146984,0.9810517351500958,0.7544642857142857,0.7698530977219502,0.729109079311078,0.7300743889479278,0.8095238095238095,
PointAll_21.fastq,0.9615113350125944,0.9711928590749256,0.9111214518380643,0.9394181585677749,0.9385198135198135,0.9974025974025974,0.9817232375979112,0.925,0.8600191754554171,0.9338116591928252,0.9725338491295938,0.9195915762603701,0,0.5352480417754569,0.6066597294484912,0.6265486725663717,0.5052631578947369,0.8755144032921811,0.9851625875338001,0.9575498575498576,0.9884081781672143,0.7702349869451697,0.6926333615580017,0.6540938362465502,0.702576112412178,0.7041373926619828,0.8301282051282051,
PointAll_22.fastq,0.9819647355163728,0.9838045566840516,0.9583527221963704,0.9715382155420531,0.9644792293798916,0.9945054945054945,0.9611111111111111,0.9248554913294798,0.8481308411214954,0.9678173318950019,0.9845691120700929,0.9618905684479455,0.5352480417754569,0,0.8154327424400417,0.5603015075376885,0.7625994694960212,0.8676844783715013,0.9916870415647921,0.9820324005891016,0.9945538077707122,0.574468085106383,0.8459552495697074,0.8354898336414048,0.86015625,0.8608287724784989,0.8954305799648506,
PointAll_23.fastq,0.9036872859157767,0.9151418721824449,0.7773382968822709,0.8473221422861711,0.8211291224147569,0.9979144942648592,0.9916405433646813,0.7040498442367602,0.5842696629213483,0.8613100436681222,0.9192915876027831,0.7965091528309919,0.6066597294484912,0.8154327424400417,0,0.7290686735653811,0.22326064382139144,0.5767918088737201,0.9562234115548237,0.92264631043257,0.9710391822827938,0.9070010449320794,0.21783010933557612,0.5896193771626297,0.4895340985820391,0.5782442748091603,0.5380747126436782,
PointAll_24.fastq,0.9712890040873293,0.9712395355117472,0.9307201458523245,0.9524034672970844,0.9170370370370371,0.9949494949494949,0.9796954314720813,0.8542296072507553,0.755440414507772,0.9465864874425186,0.9727085478887745,0.9161166702150308,0.6265486725663717,0.5603015075376885,0.7290686735653811,0,0.6666666666666667,0.7060889929742389,0.9852452202826267,0.9650408796165774,0.9880430814165754,0.7772151898734178,0.768012668250198,0.7106643356643356,0.7860768672951414,0.7927797833935017,0.8317460317460317,
PointAll_25.fastq,0.9240302267002519,0.9318607764390897,0.8245695672405771,0.8799552429667519,0.854493580599144,0.9986789960369881,0.990728476821192,0.7503328894806924,0.6354895104895104,0.8821238938053098,0.9354097523615011,0.8394720034064296,0.5052631578947369,0.7625994694960212,0.22326064382139144,0.6666666666666667,0,0.6346691519105312,0.9648251603558866,0.9383723992625758,0.9770901788974078,0.8834437086092715,0.37351443123938877,0.6356877323420074,0.5282199710564399,0.6233062330623307,0.6142208774583964,
PointMon_10.fastq,0.9345888009616348,0.9104887424492037,0.8453204241585984,0.8939008894536213,0.7838334353949785,0.9971949509116409,0.9887482419127989,0.48053024026512015,0.2551724137931034,0.8806209850107066,0.9155665926022742,0.8488718603661132,0.8755144032921811,0.8676844783715013,0.5767918088737201,0.7060889929742389,0.6346691519105312,0,0.9548152803966757,0.9376664890783165,0.9785538283697868,0.8748241912798875,0.47847278635255885,0.88,0.8204976303317535,0.8844643858665171,0.4510822510822511,
PointMon_6.fastq,0.6107440390692329,0.5263446761800219,0.8201589825119237,0.7375030780595913,0.7802228412256267,0.9997895622895623,0.9995089786756454,0.922354590049054,0.9466396251486118,0.6325558929064312,0.4706253063510959,0.8391522724488546,0.9851625875338001,0.9916870415647921,0.9562234115548237,0.9852452202826267,0.9648251603558866,0.9548152803966757,0,0.7928945194161388,0.5686774801044894,0.9938271604938271,0.9451248717071502,0.9808612440191388,0.9585707581953475,0.9560454331608307,0.9343943290013205,
PointMon_7.fastq,0.7245676746208096,0.6478691901635123,0.7121727303638219,0.6909340659340659,0.5860726643598616,0.9987793713762587,0.9978645515558268,0.9210397253555664,0.9356267917643992,0.8480385768278379,0.7177762039660056,0.7589105058365759,0.9575498575498576,0.9820324005891016,0.92264631043257,0.9650408796165774,0.9383723992625758,0.9376664890783165,0.7928945194161388,0,0.9027322404371585,0.9891891891891892,0.9149352236616964,0.9399172950620287,0.8936635105608157,0.8669154228855721,0.8685372824110158,
PointMon_8.fastq,0.7073465442242629,0.7845015765219501,0.8733440446236396,0.810508392118706,0.9021180903759078,0.9998782973803512,0.9997565947607022,0.9658319895335747,0.9755400060845756,0.8335053423992229,0.7695279231050006,0.8789208225146984,0.9884081781672143,0.9945538077707122,0.9710391822827938,0.9880430814165754,0.9770901788974078,0.9785538283697868,0.5686774801044894,0.9027322404371585,0,0.9972921167128123,0.9652435686918446,0.9781470110167961,0.9615606848523554,0.961810939827906,0.9715194667474625,
PointMon_9.fastq,0.9911343945194439,0.9876816608996539,0.9792926942764076,0.985766831920678,0.9727077583563324,0.978021978021978,0.9222222222222223,0.9217081850533808,0.8910891089108911,0.9839985616684646,0.9884012126005008,0.9810517351500958,0.7702349869451697,0.574468085106383,0.9070010449320794,0.7772151898734178,0.8834437086092715,0.8748241912798875,0.9938271604938271,0.9891891891891892,0.9972921167128123,0,0.923407917383821,0.9186691312384473,0.93046875,0.9303599374021909,0.9184430027803522,
Sharpsburg_11.fastq,0.8844954220746554,0.894264996704021,0.7305277842362241,0.819267515923567,0.776825221238938,0.9974204643164231,0.9931153184165232,0.6067073170731707,0.4605160281469899,0.8332465729654693,0.9004524886877828,0.7544642857142857,0.6926333615580017,0.8459552495697074,0.21783010933557612,0.768012668250198,0.37351443123938877,0.47847278635255885,0.9451248717071502,0.9149352236616964,0.9652435686918446,0.923407917383821,0,0.6272949816401469,0.5262522631261315,0.6073059360730594,0.4573002754820936,
Sharpsburg_12.fastq,0.9398959738008091,0.9639516028439565,0.8644711842938568,0.904882783335822,0.9106874059207225,0.9972273567467652,0.9925994449583718,0.9368065605402798,0.895906432748538,0.9278566817301485,0.9658751938909438,0.7698530977219502,0.6540938362465502,0.8354898336414048,0.5896193771626297,0.7106643356643356,0.6356877323420074,0.88,0.9808612440191388,0.9399172950620287,0.9781470110167961,0.9186691312384473,0.6272949816401469,0,0.6376226197345644,0.6379907621247114,0.8448368111289459,
Sharpsburg_13.fastq,0.871828433346758,0.9216432103461392,0.7030923041153221,0.7995219123505977,0.8424674993627326,0.9976580796252927,0.99375,0.8665094339622641,0.8155505107832008,0.9008835341365462,0.9255937954435288,0.729109079311078,0.702576112412178,0.86015625,0.4895340985820391,0.7860768672951414,0.5282199710564399,0.8204976303317535,0.9585707581953475,0.8936635105608157,0.9615606848523554,0.93046875,0.5262522631261315,0.6376226197345644,0,0.20868347338935578,0.7043956043956043,
Sharpsburg_14.fastq,0.8716889918420787,0.9159867414584396,0.7041598884499187,0.7998406374501992,0.8304560680237052,0.9968701095461658,0.9937402190923318,0.9174932371505862,0.8778256189451022,0.9168646080760094,0.9204725368408233,0.7300743889479278,0.7041373926619828,0.8608287724784989,0.5782442748091603,0.7927797833935017,0.6233062330623307,0.8844643858665171,0.9560454331608307,0.8669154228855721,0.961810939827906,0.9303599374021909,0.6073059360730594,0.6379907621247114,0.20868347338935578,0,0.7651991614255765,
unclassified_0.fastq,0.905391961798647,0.8717217013181139,0.7894618329205134,0.8536356528537921,0.7223203769140165,0.9972196478220574,0.9935125115848007,0.6051964512040557,0.4798387096774194,0.8543823326432022,0.8794619762027935,0.8095238095238095,0.8301282051282051,0.8954305799648506,0.5380747126436782,0.8317460317460317,0.6142208774583964,0.4510822510822511,0.9343943290013205,0.8685372824110158,0.9715194667474625,0.9184430027803522,0.4573002754820936,0.8448368111289459,0.7043956043956043,0.7651991614255765,0,
