Sample,SimpsonsIndex
Braddock_17.fastq,0.15629800000000002
Sharpsburg_13.fastq,0.22394999999999998
PointAll_23.fastq,0.19192800000000002
unclassified_0.fastq,0.16993600000000006
PointMon_6.fastq,0.17094600000000001
Braddock_18.fastq,0.14240600000000006
Sharpsburg_11.fastq,0.15936400000000003
NevilleIsland_1.fastq,0.579376
Braddock_19.fastq,0.17709400000000003
Sharpsburg_12.fastq,0.230842
Braddock_20.fastq,0.15408000000000002
Braddock_16.fastq,0.16729199999999997
PointMon_8.fastq,0.15940600000000002
NevilleIsland_5.fastq,0.176124
NevilleIsland_4.fastq,0.17969400000000005
NevilleIsland_3.fastq,0.3700319999999999
PointAll_25.fastq,0.204652
PointMon_7.fastq,0.15277000000000004
Sharpsburg_14.fastq,0.20116199999999998
